participant_id,scenario_id,difficulty,cognitive_trigger,participant_action,correct_response,is_correct,response_time_seconds,timestamp,metric_overall_accuracy,metric_total_scenarios,metric_correct_responses,metric_incorrect_responses,metric_average_response_time
P001,PS007,medium,curiosity_bias,Clicked Link,report_phishing,False,38.77495144472874,2025-10-02T18:54:17.868631,0.0,9,0,9,45.08665380374013
P001,PS002,medium,authority_bias,download_attachment,report_phishing,False,45.54511016858536,2025-10-02T18:54:17.868637,0.0,9,0,9,45.08665380374013
P001,PS008,hard,familiarity_bias,download_attachment,verify_with_sender,False,68.38326138501961,2025-10-02T18:54:17.868642,0.0,9,0,9,45.08665380374013
P001,PS003,hard,authority_bias,safe_to_open,report_phishing,False,53.426257337256175,2025-10-02T18:54:17.868651,0.0,9,0,9,45.08665380374013
P001,PS010,easy,none,report_phishing,safe_to_open,False,32.49362688477829,2025-10-02T18:54:17.868655,0.0,9,0,9,45.08665380374013
P001,PS001,easy,authority_bias,safe_to_open,report_phishing,False,40.88546173835241,2025-10-02T18:54:17.868660,0.0,9,0,9,45.08665380374013
P001,PS005,medium,urgency_bias,open_email,report_phishing,False,35.826868351012756,2025-10-02T18:54:17.868664,0.0,9,0,9,45.08665380374013
P001,PS009,medium,none,verify_with_sender,safe_to_open,False,19.778948670326397,2025-10-02T18:54:17.868668,0.0,9,0,9,45.08665380374013
P001,PS004,easy,urgency_bias,verify_with_sender,report_phishing,False,70.66539825360141,2025-10-02T18:54:17.868672,0.0,9,0,9,45.08665380374013
P002,PS003,hard,authority_bias,click_link,report_phishing,False,22.823692494422627,2025-10-02T18:54:17.868786,0.1111111111111111,9,1,8,41.830803462389966
P002,PS005,medium,urgency_bias,report_phishing,report_phishing,True,63.20140857146061,2025-10-02T18:54:17.868791,0.1111111111111111,9,1,8,41.830803462389966
P002,PS007,medium,curiosity_bias,delete,report_phishing,False,46.21550702566264,2025-10-02T18:54:17.868795,0.1111111111111111,9,1,8,41.830803462389966
P002,PS008,hard,familiarity_bias,report_phishing,verify_with_sender,False,32.26094465482947,2025-10-02T18:54:17.868800,0.1111111111111111,9,1,8,41.830803462389966
P002,PS006,easy,curiosity_bias,verify_with_sender,report_phishing,False,74.70975992192304,2025-10-02T18:54:17.868804,0.1111111111111111,9,1,8,41.830803462389966
P002,PS009,medium,none,delete,safe_to_open,False,35.35581098380448,2025-10-02T18:54:17.868808,0.1111111111111111,9,1,8,41.830803462389966
P002,PS002,medium,authority_bias,safe_to_open,report_phishing,False,18.96604630319171,2025-10-02T18:54:17.868812,0.1111111111111111,9,1,8,41.830803462389966
P002,PS010,easy,none,verify_with_sender,safe_to_open,False,35.53479261617858,2025-10-02T18:54:17.868817,0.1111111111111111,9,1,8,41.830803462389966
P002,PS004,easy,urgency_bias,verify_with_sender,report_phishing,False,47.409268590036525,2025-10-02T18:54:17.868822,0.1111111111111111,9,1,8,41.830803462389966
P003,PS005,medium,urgency_bias,Clicked Link,report_phishing,True,34.620024530139816,2025-10-02T18:54:17.868898,0.5555555555555556,9,5,4,46.602179803457645
P003,PS003,hard,authority_bias,download_attachment,report_phishing,False,44.42507385412728,2025-10-02T18:54:17.868903,0.5555555555555556,9,5,4,46.602179803457645
P003,PS002,medium,authority_bias,open_email,report_phishing,False,39.981238547033826,2025-10-02T18:54:17.868908,0.5555555555555556,9,5,4,46.602179803457645
P003,PS004,easy,urgency_bias,report_phishing,report_phishing,True,35.80256281594714,2025-10-02T18:54:17.868912,0.5555555555555556,9,5,4,46.602179803457645
P003,PS001,easy,authority_bias,report_phishing,report_phishing,True,67.79809112798267,2025-10-02T18:54:17.868916,0.5555555555555556,9,5,4,46.602179803457645
P003,PS008,hard,familiarity_bias,click_link,verify_with_sender,False,58.74504325382756,2025-10-02T18:54:17.868920,0.5555555555555556,9,5,4,46.602179803457645
P003,PS009,medium,none,safe_to_open,safe_to_open,True,41.28097133434501,2025-10-02T18:54:17.868924,0.5555555555555556,9,5,4,46.602179803457645
P003,PS007,medium,curiosity_bias,report_phishing,report_phishing,True,50.871478070431,2025-10-02T18:54:17.868928,0.5555555555555556,9,5,4,46.602179803457645
P003,PS006,easy,curiosity_bias,verify_with_sender,report_phishing,False,45.89513469728449,2025-10-02T18:54:17.868932,0.5555555555555556,9,5,4,46.602179803457645
P004,PS010,easy,none,download_attachment,safe_to_open,False,49.616154334837326,2025-10-02T18:54:17.869006,0.0,9,0,9,44.715937853286974
P004,PS003,hard,authority_bias,open_email,report_phishing,False,44.51755038071569,2025-10-02T18:54:17.869011,0.0,9,0,9,44.715937853286974
P004,PS002,medium,authority_bias,download_attachment,report_phishing,False,5.0,2025-10-02T18:54:17.869016,0.0,9,0,9,44.715937853286974
P004,PS008,hard,familiarity_bias,report_phishing,verify_with_sender,False,56.83862034676153,2025-10-02T18:54:17.869020,0.0,9,0,9,44.715937853286974
P004,PS007,medium,curiosity_bias,open_email,report_phishing,False,70.52223220777977,2025-10-02T18:54:17.869025,0.0,9,0,9,44.715937853286974
P004,PS001,easy,authority_bias,download_attachment,report_phishing,False,85.02450200149715,2025-10-02T18:54:17.869029,0.0,9,0,9,44.715937853286974
P004,PS009,medium,none,download_attachment,safe_to_open,False,20.034949853494737,2025-10-02T18:54:17.869033,0.0,9,0,9,44.715937853286974
P004,PS005,medium,urgency_bias,safe_to_open,report_phishing,False,26.481815370244263,2025-10-02T18:54:17.869037,0.0,9,0,9,44.715937853286974
P004,PS006,easy,curiosity_bias,click_link,report_phishing,False,44.4076161842523,2025-10-02T18:54:17.869041,0.0,9,0,9,44.715937853286974
P005,PS005,medium,urgency_bias,Clicked Link,report_phishing,False,37.304696634012515,2025-10-02T18:54:17.869114,0.2222222222222222,9,2,7,42.4601619447743
P005,PS009,medium,none,report_phishing,safe_to_open,False,30.304938396286616,2025-10-02T18:54:17.869119,0.2222222222222222,9,2,7,42.4601619447743
P005,PS008,hard,familiarity_bias,click_link,verify_with_sender,False,52.866982482792906,2025-10-02T18:54:17.869124,0.2222222222222222,9,2,7,42.4601619447743
P005,PS002,medium,authority_bias,download_attachment,report_phishing,False,46.520575756243105,2025-10-02T18:54:17.869128,0.2222222222222222,9,2,7,42.4601619447743
P005,PS001,easy,authority_bias,download_attachment,report_phishing,False,56.896698311301165,2025-10-02T18:54:17.869132,0.2222222222222222,9,2,7,42.4601619447743
P005,PS003,hard,authority_bias,report_phishing,report_phishing,True,38.33888502490839,2025-10-02T18:54:17.869136,0.2222222222222222,9,2,7,42.4601619447743
P005,PS004,easy,urgency_bias,download_attachment,report_phishing,False,27.06682334453247,2025-10-02T18:54:17.869140,0.2222222222222222,9,2,7,42.4601619447743
P005,PS010,easy,none,verify_with_sender,safe_to_open,False,37.390802828570195,2025-10-02T18:54:17.869144,0.2222222222222222,9,2,7,42.4601619447743
P005,PS007,medium,curiosity_bias,report_phishing,report_phishing,True,55.45105472432133,2025-10-02T18:54:17.869148,0.2222222222222222,9,2,7,42.4601619447743
P006,PS009,medium,none,safe_to_open,safe_to_open,True,19.140582237592312,2025-10-02T18:54:17.869219,0.1111111111111111,9,1,8,44.27402241261629
P006,PS003,hard,authority_bias,download_attachment,report_phishing,False,47.66583949412654,2025-10-02T18:54:17.869224,0.1111111111111111,9,1,8,44.27402241261629
P006,PS001,easy,authority_bias,click_link,report_phishing,False,52.97574356544567,2025-10-02T18:54:17.869228,0.1111111111111111,9,1,8,44.27402241261629
P006,PS007,medium,curiosity_bias,delete,report_phishing,False,43.02247879047991,2025-10-02T18:54:17.869233,0.1111111111111111,9,1,8,44.27402241261629
P006,PS004,easy,urgency_bias,delete,report_phishing,False,47.755620500080695,2025-10-02T18:54:17.869238,0.1111111111111111,9,1,8,44.27402241261629
P006,PS002,medium,authority_bias,verify_with_sender,report_phishing,False,48.39492821309823,2025-10-02T18:54:17.869244,0.1111111111111111,9,1,8,44.27402241261629
P006,PS006,easy,curiosity_bias,open_email,report_phishing,False,32.511136531253015,2025-10-02T18:54:17.869249,0.1111111111111111,9,1,8,44.27402241261629
P006,PS005,medium,urgency_bias,verify_with_sender,report_phishing,False,49.543771471297994,2025-10-02T18:54:17.869253,0.1111111111111111,9,1,8,44.27402241261629
P006,PS008,hard,familiarity_bias,click_link,verify_with_sender,False,57.45610091017228,2025-10-02T18:54:17.869257,0.1111111111111111,9,1,8,44.27402241261629
